,station_id,lat,lon,name,capacity,2 cluster,2 cluster
66,129164969,48.8468428626593,2.452062070369721,Place Jean-Spire-Lemaître,50,1,0
67,128989986,48.874750203956566,2.301771435325988,Place Georges Guillaumin,29,0,2
68,129004826,48.87759897050706,2.348463758826256,Bellefond - Poissonnière,17,1,1
69,518825709,48.88655580065981,2.288640439510346,Jean Oestreicher - Porte de Champerret,21,0,2
70,128930462,48.87320440102894,2.323658830743138,Square Louis XVI,29,0,2
71,911767210,48.87935941942529,2.366596162319184,Alexandre Parodi - Quai de Valmy,24,1,0
72,54000565,48.8761373390584,2.3680844979417,Granges aux Belles,27,1,0
73,210586093,48.880726,2.351464,Dunkerque - Rocroy,24,0,1
74,1057296253,48.82435782216384,2.377065159380436,Regnault - Patay,63,1,0
75,210581084,48.877753,2.327339,Gare Saint-Lazare - Place de Budapest,44,0,2
76,102311820,48.891457726153774,2.348636478060487,Clignancourt - Ordener,35,1,0
77,128887067,48.85141997898257,2.3097044974565506,Ségur - d'Estrées,19,0,2
78,210574471,48.879223,2.349147,Abbeville - Faubourg Poissonnière,14,1,0
79,72765603,48.8462904,2.3521495,Boulangers - Cardinal Lemoine,20,1,0
80,210582921,48.87219,2.329423,Boudreau - Auber,14,0,1
81,55927887,48.8351212784276,2.385534569621086,Gabriel Lamé,36,1,0
82,369644630,48.87564264747718,2.3594588041305546,Gare de l'Est - Faubourg-Saint-Martin,32,1,1
83,43255030,48.87973954830735,2.288012132048607,Pereire - Ternes,48,0,2
84,129025451,48.88320784122797,2.3308449949028507,Douai - Bruxelles,27,1,1
85,128920403,48.874777677621296,2.326515804784655,Gare Saint-Lazare - Isly,27,0,2
86,323616530,48.857058739111096,2.341798283943937,Quai de l'Horloge - Pont Neuf,17,0,2
87,208795867,48.883667,2.395733,Ambroise Rendu - Porte Brunet,17,1,0
88,1062192012,48.88115023337061,2.480436824262142,Gare Rosny-Bois-Perrier,36,0,2
89,6296,48.85761567856468,2.335831353037739,Institut de France,17,0,2
90,521393180,48.8978765,2.3230632,Porte Pouchet-Bessières,23,0,1
91,576188379,48.838683941628375,2.3110422492027287,Vigée-Lebrun - Anselme Payen,24,0,1
92,128915891,48.856502977695634,2.293178754328878,Octave Gréard - Tour Eiffel,33,0,2
93,82567101,48.8629238005955,2.415503561496735,Château - République,26,0,1
94,129021753,48.88006587474148,2.3310810327529907,Moncey - Blanche,17,1,0
95,457813746,48.814183748660554,2.2872862592339516,Henri Barbusse - Stalingrad,16,1,0
96,35642049,48.87748519186726,2.3660067468881607,Jemmapes - Ecluses Saint-Martin ,15,1,0
97,50191171,48.88917613743794,2.3833653330802917,Thionville - Ourcq,24,1,0
98,102290754,48.88416184871573,2.322079431103719,Mairie du 17ème,24,1,0
99,3906153622,48.91864865955558,2.2814112156629562,Argenteuil - Voltaire,16,1,0
100,129087587,48.88896161855884,2.322528975094376,Legendre - Clichy,40,1,0
101,213693511,48.884492238407525,2.3703941702842717,Quai de la Seine,24,1,1
102,82379648,48.87745567681383,2.309694221419506,Lisbonne - Monceau,33,0,2
103,95845524,48.870702423554306,2.358739863900845,Cité Riverin - Château d'Eau ,18,1,0
104,210740080,48.881949,2.352339,Gare du Nord - Hôpital Lariboisière,49,0,1
105,230877798,48.8847601,2.3534657,Chartres - La Charbonnière,34,1,0
106,303695607,48.8582958982873,2.3423714563250546,Pont-Neuf - Quai du Louvre,30,0,2
107,66491397,48.8455150897939,2.3726498446286,Gare de Lyon - Place Louis Armand,60,0,1
108,2515995748,48.89577046284005,2.223908342421055,Pesaro - Préfecture,22,0,1
109,129014600,48.87334627510507,2.337980867701675,Rossini - Laffitte,33,0,2
110,27363162,48.8554439,2.2704418,Ranelagh - Mozart,23,1,0
111,128882438,48.84906329950134,2.3558086529374123,Institut du Monde Arabe - Saint-Germain,40,0,2
112,102324803,48.872010281270974,2.392039597034455,Pyrénées - Emmery,40,1,0
113,80419347,48.84922568052601,2.4218603968620305,Lagny - Auguste Blanqui,27,0,1
114,54000569,48.86214784454763,2.3772348091006275,Saint-Ambroise - Parmentier,38,1,0
115,336511521,48.88192765861766,2.392586767673493,Place de Rhin et Danube,17,1,0
116,129043651,48.85507930579506,2.3733686318721463,Roquette - Thiéré,23,0,1
117,82562556,48.84097491091973,2.264390252530575,Exelmans - Versailles,49,1,0
118,129048000,48.858688774062955,2.383553994571467,Saint-Maur - Roquette,46,1,0
119,1062250686,48.80889533774377,2.5382421165704727,11 Novembre 1918 - 8 Mai 1945,36,0,1
120,261987383,48.8687591,2.4329931,Place Du Général De Gaulle,26,1,0
121,126050442,48.88364782887555,2.2952447086572647,Pereire - Rennequin,23,1,0
122,27363489,48.83761417037952,2.397253782195704,Claude Decaen - Cannebière,27,1,0
123,39296638,48.874746047357135,2.3082953318953514,Berri - Haussmann,35,0,1
124,101763163,48.852804604940296,2.293077029857222,Desaix - Edgar Faure,12,1,0
125,205938683,48.893923963057865,2.39790290594101,Delphine Seyrig - Général Leclerc,53,0,2
126,210399835,48.84702057165222,2.3464982619671075,Panthéon - Valette,39,0,2
127,1057324291,48.822009,2.322188699,Cimetière de Montrouge,58,1,0
128,314829539,48.83649602312711,2.479562651149885,Charles de Gaulle - Beauté,49,1,0
129,813544903,48.86114216276092,2.367799618107727,Amelot - Saint-Sébastien,30,0,1
130,653133605,48.81995307955795,2.464176752459464,Gare RER - Canadiens,45,0,2
131,3906094706,48.92986719451888,2.283669635653496,Redoute - Les Courtilles,32,1,0
132,27414578,48.84479928858768,2.329337755887181,Notre-Dame-des-Champs - Stanislas,19,0,2
133,80216231,48.88022154052015,2.2854680567979813,Belidor - Gouvion-Saint-Cyr,24,1,1
134,508042092,48.82237977153955,2.4586871266365056,Pyramide - Ecole du Breuil ,34,0,2
135,42603855,48.8795431,2.3264628,Liège - Moscou,17,1,1
136,818302209,48.86131452758348,2.440614402294159,Mairie de Montreuil,52,0,1
137,13718041,48.8750898883217,2.3826304078102116,Square Simon Bolivar,24,1,0
138,265464297,48.83681733526843,2.3312794080411474,Schoelcher - Raspail,50,1,0
139,1057392676,48.764615483395254,2.4071189761161804,Rouget de Lisle,35,0,2
140,102309973,48.886472466141925,2.3328901827335358,Cimetière de Montmartre,43,1,0
141,532054446,48.8667175,2.3692541,Richard Lenoir - Republique,58,1,0
142,129034587,48.875034655883944,2.359801238597928,Récollets - Square Villemin,17,1,1
143,586539770,48.81154270401601,2.303070724010468,Marne - Germain Dardan,22,0,1
144,3906335682,48.814548697324845,2.36116636544466,Roger Salengro - Fontainebleau,25,1,0
145,583539396,48.9155156,2.3814103,Anatole France - President Roosevelt,29,1,0
146,101753100,48.83372430280548,2.2713854536414146,Henry Farman,16,0,2
